Age;Earnings Forecast;Excl_SS _Offset;Incl_SS_Offset;Social_Security;years
50;22317;;2764;4533;0
51;22389;;2900;4723;1
52;22327;;3010;4914;2
53;22330;;3221;5102;3
54;22275;;3271;5288;4
55;22172;9522;6251;5465;5
56;22024;10884;7047;5640;6
57;21832;12465;8006;5771;7
58;21593;14173;9035;5798;8
59;21310;16271;10394;5822;9
60;20981;18546;11861;5842;10
61;20610;19739;12647;5863;11
62;20196;20989;13473;5885;12
63;19742;22309;14346;6305;13
64;19250;23652;15219;6538;14
65;18721;;15756;6757;15
66;18158;;16809;6546;16
67;17564;;17847;6349;17
68;16943;;18862;6167;18
